ds,Open,High,Low,y,Volume,Dividends,Stock Splits
2024-05-22,191.6259804985601,192.17414127105863,189.6326796586952,190.26055908203125,34648500,0.0,0.0
2024-05-23,190.3402701697929,190.3602074339564,186.0048504863481,186.25401306152344,51005900,0.0,0.0
2024-05-24,188.1875250894915,189.9416242186365,187.41012383078697,189.3436279296875,36294600,0.0,0.0
2024-05-28,190.868504773859,192.353519283506,188.4665889665476,189.3536071777344,52280100,0.0,0.0
2024-05-29,188.9748729541666,191.6060292626522,188.8752018363686,189.652587890625,53068000,0.0,0.0
2024-05-30,190.1210227262773,191.53626445370173,189.99146851693155,190.6492462158203,49947900,0.0,0.0
2024-05-31,190.7987489600185,191.92496874276912,189.2738751129784,191.6060333251953,75158300,0.0,0.0
2024-06-03,192.25383098769493,194.3368416096963,191.8751142263389,193.3800506591797,50080500,0.0,0.0
2024-06-04,193.9880117607724,194.66574186569684,192.38340418619828,193.6989898681641,47471400,0.0,0.0
2024-06-05,194.7454708275224,196.24044634116564,194.2172473626493,195.21389770507807,54156800,0.0,0.0
2024-06-06,195.03450583879905,195.84179017422773,193.5195930765027,193.8285522460937,41181800,0.0,0.0
2024-06-07,193.9979817818169,196.28031956711487,193.48969558531903,196.23048400878903,53103900,0.0,0.0
2024-06-10,196.2404356269631,196.6391048667748,191.50634675889475,192.4730987548828,97262100,0.0,0.0
2024-06-11,193.00133588013964,206.46609195915696,192.9814138224934,206.45611572265625,172373300,0.0,0.0
2024-06-12,206.6753885384406,219.46241499269527,206.20696163392407,212.35630798339844,198134300,0.0,0.0
2024-06-13,214.02069454325613,216.02395620562416,210.89121315624297,213.5223693847656,97862700,0.0,0.0
2024-06-14,213.13367378271624,214.44924427717245,210.59221246372425,211.7782287597656,70122700,0.0,0.0
2024-06-17,212.6552799352836,218.2165907033257,212.0074632920053,215.94422912597656,93728300,0.0,0.0
2024-06-18,216.8611384124148,217.89766325641617,212.28651711595563,213.5721893310547,79943300,0.0,0.0
2024-06-20,213.21341001933183,213.5223844137921,208.15043943546107,208.97764587402344,86172500,0.0,0.0
2024-06-21,209.6852627905662,211.1802382889184,206.4162509174504,206.79498291015625,246421400,0.0,0.0
2024-06-24,207.02420349475847,211.98751777765065,205.89798377862783,207.4427947998047,80727000,0.0,0.0
2024-06-25,208.44940858434205,210.6719497500221,207.91122410230184,208.36968994140625,56713900,0.0,0.0
2024-06-26,210.7915521691021,214.1402980033581,209.9344322470105,212.5356903076172,66213200,0.0,0.0
2024-06-27,213.97087836680484,215.01736433595823,211.63872006367097,213.3828582763672,49772700,0.0,0.0
2024-06-28,215.0472324898511,215.3462306116548,209.5955543096767,209.9144744873047,82542700,0.0,0.0
2024-07-01,211.37956216985057,216.78140506529675,211.2101334408119,216.02395629882807,60402900,0.0,0.0
2024-07-02,215.4259559559557,219.64179766849512,214.3794853085834,219.5321655273437,58046200,0.0,0.0
2024-07-03,219.26308073535031,220.80789184570312,218.29632866276663,220.80789184570312,37369800,0.0,0.0
2024-07-05,220.90754038733803,225.6914650307592,220.90754038733803,225.5818328857422,60412400,0.0,0.0
2024-07-08,226.32931907748747,227.0867830588167,222.50218547217585,227.056884765625,59085900,0.0,0.0
